file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,"add/2[int,T]",false,63,4,6,0,6,4,6,10,0,2,2,6,0,0,0,1,0,0,2,3,2,2,2,0,0,0,33,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,"set/2[int,T]",false,105,4,4,0,4,3,4,7,1,2,2,4,0,0,0,0,0,0,2,1,2,1,1,0,0,0,14,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,add/1[T],false,78,3,4,0,4,1,4,6,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,createNewNode/0,false,177,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,makeEmpty/0,false,168,1,1,0,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,44,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,getFirstNode/0,false,132,3,0,0,0,2,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,12,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,getNodeAfter/1[interfases.Node<T>],false,82,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,"addNodeAfter/2[interfases.Node<T>,interfases.Node<T>]",false,39,3,2,0,2,1,2,5,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,SLList/0,true,13,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,addFirstNode/1[interfases.Node<T>],false,18,3,1,0,1,1,1,5,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,getNodeBefore/1[interfases.Node<T>],false,92,3,1,0,1,2,1,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,getLastNode/0,false,71,3,1,0,1,3,1,8,2,1,0,1,0,0,1,2,0,0,0,0,2,0,3,0,0,0,6,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,iterator/0,false,188,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,nodes/0,false,182,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,"addNodeBefore/2[interfases.Node<T>,interfases.Node<T>]",false,47,3,3,0,3,2,3,7,0,1,2,3,0,0,0,1,0,0,0,0,1,0,2,0,0,0,10,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,findNodePrevTo/1[interfases.Node<T>],false,59,3,1,0,1,4,1,8,2,1,1,1,0,0,1,3,0,0,0,0,2,0,3,0,0,0,8,2,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,length/0,false,104,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,destroy/0,false,148,2,3,0,3,2,3,8,0,1,0,3,0,0,1,1,0,0,0,0,2,0,1,0,0,0,43,2,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,removeNode/1[interfases.Node<T>],false,112,4,5,0,5,2,5,9,0,1,1,5,0,0,0,1,0,0,0,0,2,0,2,0,0,0,15,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,clone/0,false,255,4,4,0,4,2,3,9,1,2,0,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,7,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,addLastNode/1[interfases.Node<T>],false,25,3,2,0,2,3,2,11,0,2,1,2,0,0,1,2,0,0,0,1,4,0,3,0,0,0,10,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getLastNode/0,false,89,3,0,0,0,2,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,12,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,createNewNode/0,false,142,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,SLFLList/0,true,20,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,8,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,nodes/0,false,166,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,"addNodeAfter/2[interfases.Node<T>,interfases.Node<T>]",false,44,3,2,0,2,2,3,11,0,0,2,3,0,0,0,0,0,4,0,0,1,0,1,0,0,0,7,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,length/0,false,119,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,removeNode/1[interfases.Node<T>],false,123,4,4,0,4,3,4,19,0,2,1,4,0,0,0,2,0,0,0,0,5,0,1,0,0,0,10,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,"addNodeBefore/2[interfases.Node<T>,interfases.Node<T>]",false,72,3,3,0,3,2,3,8,0,1,2,3,0,0,0,2,0,0,0,0,1,0,2,0,0,0,12,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getFirstNode/0,false,82,3,0,0,0,2,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,12,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addFirstNode/1[interfases.Node<T>],false,29,3,1,0,1,2,1,10,0,0,1,1,0,0,0,1,0,1,0,1,3,0,1,0,0,0,7,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getNodeAfter/1[interfases.Node<T>],false,95,3,1,0,1,3,2,5,2,0,1,2,0,0,0,1,0,1,1,1,0,0,1,0,0,0,13,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,clone/0,false,226,4,4,0,4,2,3,9,1,2,0,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,7,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,iterator/0,false,147,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,findNodePrevTo/1[interfases.Node<T>],false,55,3,1,0,1,4,1,8,2,1,1,1,0,0,1,3,0,0,0,0,2,0,3,0,0,0,8,2,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getNodeBefore/1[interfases.Node<T>],false,103,3,1,0,1,6,2,14,3,1,1,2,0,0,1,3,0,0,1,1,2,0,2,0,0,0,15,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addLastNode/1[interfases.Node<T>],false,152,3,1,0,1,2,1,12,0,1,1,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,9,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/CloneTester.java,CloneTester,main/1[java.lang.String[]],false,9,3,6,0,6,1,3,8,0,6,1,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,9,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList$ElementsIterator,hasNext/0,false,215,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList$ElementsIterator,next/0,false,220,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList$ElementsIterator,next/0,false,211,3,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList$ElementsIterator,hasNext/0,false,206,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
