file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,false,51,7,8,1,7,1,14,28,0,0,0,14,0,0,0,0,0,0,2,2,9,0,0,0,0,0,39,1,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,MainGUI/0,true,47,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,false,28,0,1,1,0,1,12,47,0,0,0,12,0,0,0,0,0,0,9,41,10,0,0,0,0,0,27,1,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,SignInGUI/0,true,24,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,SignUpGUI/0,true,28,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,false,32,0,1,1,0,1,12,59,0,0,0,12,0,0,0,0,0,0,11,57,14,0,0,0,0,0,29,1,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Driver.java,Driver,main/1[java.lang.String[]],false,6,1,1,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,9,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,false,41,1,2,1,1,1,15,49,0,0,0,15,0,0,0,0,0,0,6,27,8,1,0,0,0,0,38,2,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,"setData/2[java.lang.String,java.lang.String]",false,170,0,1,1,0,1,1,5,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,9,1,0,false
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,Dashboard/1[MainGUI.ButtonHandler],true,36,2,2,1,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,false
