file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,accept/1[behavioral.visitor.ShoppingCartVisitor],shoppingCartVisitor,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/factory/FactoryDesignPatternDemo.java,creational.factory.FactoryDesignPatternDemo,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/factory/FactoryDesignPatternDemo.java,creational.factory.FactoryDesignPatternDemo,main/1[java.lang.String[]],mediaPlayerFactory,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/factory/FactoryDesignPatternDemo.java,creational.factory.FactoryDesignPatternDemo,main/1[java.lang.String[]],vlc,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/factory/FactoryDesignPatternDemo.java,creational.factory.FactoryDesignPatternDemo,main/1[java.lang.String[]],windows,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ShoppingCartVisitor.java,behavioral.visitor.ShoppingCartVisitor,visit/1[behavioral.visitor.ClockStationaryItem],clock,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ShoppingCartVisitor.java,behavioral.visitor.ShoppingCartVisitor,visit/1[behavioral.visitor.BookStationaryItem],book,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,main/1[java.lang.String[]],stationaryItems,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,main/1[java.lang.String[]],book,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,main/1[java.lang.String[]],clock,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,checkout/1[java.util.List<behavioral.visitor.StationaryItem>],extendedWarrantyVisitor,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,checkout/1[java.util.List<behavioral.visitor.StationaryItem>],totalPrice,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,checkout/1[java.util.List<behavioral.visitor.StationaryItem>],stationaryItem,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,checkout/1[java.util.List<behavioral.visitor.StationaryItem>],stationaryItemList,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/VisitorMain.java,behavioral.visitor.VisitorMain,checkout/1[java.util.List<behavioral.visitor.StationaryItem>],discountPriceVisitor,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/StationaryItem.java,behavioral.visitor.StationaryItem,accept/1[behavioral.visitor.ShoppingCartVisitor],shoppingCartVisitor,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverMain.java,behavioral.observer.ObserverMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverMain.java,behavioral.observer.ObserverMain,main/1[java.lang.String[]],observerContract1,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverMain.java,behavioral.observer.ObserverMain,main/1[java.lang.String[]],observerContract2,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverMain.java,behavioral.observer.ObserverMain,main/1[java.lang.String[]],item,7
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverMain.java,behavioral.observer.ObserverMain,main/1[java.lang.String[]],observableContract,6
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem$BookBuilder,setWarrantyInMonths/1[int],warrantyInMonths,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem$BookBuilder,setDateOfArrival/1[java.util.Date],dateOfArrival,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem$BookBuilder,setPrice/1[int],price,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem$BookBuilder,setTypeOfItem/1[java.lang.String],typeOfItem,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/DecoratorMain.java,structural.decorator.DecoratorMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/DecoratorMain.java,structural.decorator.DecoratorMain,main/1[java.lang.String[]],computerInterface,4
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/DecoratorMain.java,structural.decorator.DecoratorMain,main/1[java.lang.String[]],gamingComputerDecorator,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/DecoratorMain.java,structural.decorator.DecoratorMain,main/1[java.lang.String[]],serverComputerDecorator,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverImpl1.java,behavioral.observer.ObserverImpl1,update/1[behavioral.observer.Item],item,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/Duck.java,behavioral.stratergy.Duck,"Duck/2[behavioral.stratergy.QuackBehavior,behavioral.stratergy.FlyBehaviour]",flyBehaviour,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/Duck.java,behavioral.stratergy.Duck,"Duck/2[behavioral.stratergy.QuackBehavior,behavioral.stratergy.FlyBehaviour]",quackBehavior,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverImpl2.java,behavioral.observer.ObserverImpl2,update/1[behavioral.observer.Item],item,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/GamingComputerDecorator.java,structural.decorator.GamingComputerDecorator,GamingComputerDecorator/1[structural.decorator.ComputerInterface],computerInterface,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/facade/Steward.java,structural.facade.Steward,getSpecials/1[java.lang.String],course,2
